id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
GeneMark_00000000028	85	6	138	1	100	100%
HTVC010P_Prodigal_00000000029	85	6	138	0	100.00%	100%
MGA_00000000030	85	6	138	0	100.00%	100%
Prodigal_00000000029	85	6	138	0	100.00%	100%
Glimmer_00000000029	85	6	135	0	100.00%	97%
HTVC010P_glimmer_00000000029	85	6	135	0	100.00%	97%
GeneMark_00000000034	86	1	138	1	100	100%
GeneMarkS_00000000067	87	1	132	1	100	100%
GeneMark_00000000046	88	6	132	1	100	100%
GeneMarkS_00000000049	88	6	129	0	100.00%	97%
HTVC010P_Prodigal_00000000050	88	6	129	0	100.00%	97%
Prodigal_00000000050	88	6	129	0	100.00%	97%
Glimmer_00000000051	88	6	126	0	100.00%	95%
HTVC010P_glimmer_00000000051	88	6	126	0	100.00%	95%
Glimmer_00000000040	89	2	126	1	100	100%
HTVC010P_glimmer_00000000040	89	2	126	0	100.00%	100%
GeneMarkS2_00000000028	90	2	120	1	100	100%
GeneMarkS_00000000029	90	2	120	0	100.00%	100%
HTVC010P_Prodigal_00000000039	91	2	120	1	100	100%
Prodigal_00000000039	91	2	120	0	100.00%	100%
HTVC010P_Prodigal_00000000041	92	2	120	1	100	100%
Prodigal_00000000041	92	2	120	0	100.00%	100%
GeneMarkS_00000000065	93	3	111	1	100	100%
HTVC010P_Prodigal_00000000063	93	3	111	0	100.00%	100%
Prodigal_00000000063	93	3	111	0	100.00%	100%
GeneMarkS_00000000040	94	1	105	1	100	100%
